name,address,city,cuisine
arnie morton's of chicago, 435 s. la cienega blv., los angeles, american
arnie morton's of chicago, 435 s. la cienega blvd., los angeles, steakhouses
art's delicatessen, 12224 ventura blvd., studio city, american
art's deli, 12224 ventura blvd., studio city, delis
hotel bel-air, 701 stone canyon rd., bel air, californian
bel-air hotel, 701 stone canyon rd., bel air, californian
cafe bizou, 14016 ventura blvd., sherman oaks, french
cafe bizou, 14016 ventura blvd., sherman oaks, french bistro
campanile, 624 s. la brea ave., los angeles, american
campanile, 624 s. la brea ave., los angeles, californian
chinois on main, 2709 main st., santa monica, french
chinois on main, 2709 main st., santa monica, pacific new wave
citrus, 6703 melrose ave., los angeles, californian
citrus, 6703 melrose ave., los angeles, californian
fenix, 8358 sunset blvd. west, hollywood, american
fenix at the argyle, 8358 sunset blvd., w. hollywood, french (new)
granita, 23725 w. malibu rd., malibu, californian
granita, 23725 w. malibu rd., malibu, californian
grill on the alley, 9560 dayton way, los angeles, american
grill  the, 9560 dayton way, beverly hills, american (traditional)
restaurant katsu, 1972 n. hillhurst ave., los angeles, asian
katsu, 1972 hillhurst ave., los feliz, japanese
l'orangerie, 903 n. la cienega blvd., los angeles, french
l'orangerie, 903 n. la cienega blvd., w. hollywood, french (classic)
le chardonnay, 8284 melrose ave., los angeles, french
le chardonnay (los angeles), 8284 melrose ave., los angeles, french bistro
locanda veneta, 3rd st., los angeles, italian
locanda veneta, 8638 w. third st., los angeles, italian
matsuhisa, 129 n. la cienega blvd., beverly hills, asian
matsuhisa, 129 n. la cienega blvd., beverly hills, seafood
the palm, 9001 santa monica blvd., los angeles, american
palm  the (los angeles), 9001 santa monica blvd., w. hollywood, steakhouses
patina, 5955 melrose ave., los angeles, californian
patina, 5955 melrose ave., los angeles, californian
philippe's the original, 1001 n. alameda st., los angeles, american
philippe the original, 1001 n. alameda st., chinatown, cafeterias
pinot bistro, 12969 ventura blvd., los angeles, french
pinot bistro, 12969 ventura blvd., studio city, french bistro
rex il ristorante, 617 s. olive st., los angeles, italian
rex il ristorante, 617 s. olive st., los angeles, nuova cucina italian
spago, 1114 horn ave., los angeles, californian
spago (los angeles), 8795 sunset blvd., w. hollywood, californian
valentino, 3115 pico blvd., santa monica, italian
valentino, 3115 pico blvd., santa monica, italian
yujean kang's gourmet chinese cuisine, 67 n. raymond ave., los angeles, asian
yujean kang's, 67 n. raymond ave., pasadena, chinese
21 club, 21 w. 52nd st., new york, american
21 club, 21 w. 52nd st., new york city, american (new)
aquavit, 13 w. 54th st., new york, continental
aquavit, 13 w. 54th st., new york city, scandinavian
aureole, 34 e. 61st st., new york, american
